Entity,Day,Monthly concentration,yearly_avg_co2_conc
World,15/03/19,410.89,408.14584
World,15/04/19,411.32,408.33667
World,15/05/19,411.32,408.53668
World,15/06/19,410.49,408.74084
World,15/07/19,408.83,408.93918
World,15/08/19,407.58,409.1475
World,15/09/19,407.86,409.37332
World,15/10/19,409.38,409.60333
World,15/11/19,410.82,409.83
World,15/12/19,411.74,410.0425
World,15/01/20,412.48,410.255
World,15/02/20,413.03,410.47833
World,15/03/20,413.52,410.6975
World,15/04/20,413.97,410.91833
World,15/05/20,413.88,411.13165
World,15/06/20,412.9,411.3325
World,15/07/20,411.19,411.52917
World,15/08/20,409.82,411.71582
World,15/09/20,410.11,411.90332
World,15/10/20,411.73,412.09918
World,15/11/20,413.29,412.305
World,15/12/20,414.17,412.5075
World,15/01/21,414.82,412.7025
World,15/02/21,415.33,412.89417
World,15/03/21,415.66,413.0725
World,15/04/21,415.96,413.23834
World,15/05/21,416.1,413.42334
World,15/06/21,415.27,413.62085
World,15/07/21,413.53,413.81583
World,15/08/21,412.27,414.02
World,15/09/21,412.52,414.22083
World,15/10/21,413.93,414.40417
World,15/11/21,415.64,414.6
World,15/12/21,416.68,414.80917
World,15/01/22,417.31,415.01666
World,15/02/22,417.82,415.22415
World,15/03/22,418.34,415.4475
World,15/04/22,418.73,415.67834
World,15/05/22,418.58,415.885
World,15/06/22,417.55,416.075
World,15/07/22,415.83,416.26666
World,15/08/22,414.59,416.46
World,15/09/22,414.82,416.65167
World,15/10/22,416.32,416.85083
World,15/11/22,417.95,417.04333
World,15/12/22,419.02,417.23834
World,15/01/23,419.58,417.4275
World,15/02/23,419.93,417.60333
World,15/03/23,420.31,417.7675
World,15/04/23,420.8,417.94
World,15/05/23,420.77,418.1225
World,15/06/23,419.76,418.30667
World,15/07/23,418.09,418.495
World,15/08/23,416.93,418.69
World,15/09/23,417.32,418.89832
World,15/10/23,418.98,419.12
World,15/11/23,420.53,419.335
World,15/12/23,421.68,419.55667
World,15/01/24,422.4,419.79166
World,15/02/24,422.86,420.03583
